GEOID,Latitude,Longitude,block_pop,area_km2,pop_density
170318060052,42.04155633437746,-87.85128104175827,,0.4867055971048873,
170311105012,41.9747067588395,-87.75886480394675,826.0,0.44676686532220117,1848.8389898930886
170318060063,42.04872229574557,-87.85266763123643,,0.29820756771206214,
170318042031,42.079938827989324,-88.16333980605448,,15.135676849402207,
170318060062,42.052089108710696,-87.85304882511848,,0.22996768369966492,
170311105013,41.9788954724107,-87.75980236682678,1622.0,0.2683449883732677,6044.4579562775325
170312922003,41.856410963345546,-87.71891740285649,803.0,0.1911644958399292,4200.570804070169
170318036055,42.13327838053099,-88.0202907993714,,1.0073506133802577,
170312924001,41.85642348768195,-87.72118425563987,1005.0,0.1989494910853009,5051.53340437096
170312925001,41.856913820525634,-87.72734267446764,1332.0,0.31209665330547454,4267.90862988288
170312925002,41.85330922914275,-87.72724086443331,1310.0,0.27316330642991177,4795.666069213142
170312925003,41.85512691216113,-87.73468222317842,983.0,1.1870452918646623,828.1065657198816
170318042042,42.13353016708246,-88.18603183633164,,51.51437219746897,
170318036141,42.135829383090616,-88.00685729484115,,0.48800900009485604,
170318036132,42.14157231387696,-88.00939368194368,,0.7742898425080157,
170318036162,42.12444671152665,-88.06871993538654,,0.7944287404452074,
170318036151,42.13171473725199,-88.07964526642785,,2.1780016887010287,
170318036163,42.131936933128245,-88.06664878508398,,1.0640198302155903,
170318042041,42.147221353028876,-88.15655759092644,,9.095278274934401,
170318043141,42.0377091260096,-88.20400949008285,,11.857248460924396,
170318036131,42.141344973634546,-88.018661428415,,0.6638946884041091,
170318044034,42.0515309921434,-88.24690539865951,,2.7325857635858193,
170313104001,41.856507050349904,-87.65226127539958,1332.0,0.22452400577770149,5932.55048780306
170313106001,41.85882459875092,-87.65859802845294,2150.0,0.31296375447268876,6869.805110890638
170318043161,42.02654518235714,-88.1933885204515,,3.3743739875758796,
170318043132,42.06049115413305,-88.24305310069812,,1.4517767730819855,
170318045121,42.02263252568236,-88.22743678211589,,4.269933331137259,
170318043151,42.02007138229763,-88.18818295456141,,1.9269937780049384,
170318045142,41.990461896165336,-88.25347804835373,,2.183700662597221,
170318036152,42.13155265850932,-88.07025386070407,,0.3170586816836301,
170318045131,42.01155782196271,-88.2363450106284,,4.325885992994184,
170318045132,42.007071338423465,-88.22294004157561,,2.109192560540903,
170318045133,42.00500492406567,-88.21095243747844,,2.864684062348744,
170313201021,41.886566279279045,-87.62412493922777,,0.5024290556114624,
170313201013,41.88705643524624,-87.61521489674537,,0.2029302081839294,
171978804112,41.60776103201737,-88.18147045848978,,17.05821668701208,
171978836024,41.40012478364636,-87.72514806958858,,62.726154518724705,
171978836022,41.41631932900717,-87.73851616640066,,2.4944637905384908,
171978836052,41.443859752715866,-87.68148749892259,,0.6454877153369099,
170313106002,41.856986270949186,-87.66006814394693,1743.0,0.22169199901791034,7862.259385640635
170313108003,41.85411139710673,-87.66852566155669,2351.0,0.29998107648909816,7837.161022006798
170313109001,41.8567549382391,-87.67350717571162,1738.0,0.4417280637210688,3934.5473895393434
170313109002,41.853025341368124,-87.67415525148539,1557.0,0.18716314701233575,8318.945395256576
170313109003,41.856095999908504,-87.67716582970698,1828.0,0.24584010260594916,7435.72745301874
170314110001,41.791552494777,-87.58012307445958,1199.0,0.3785399036071122,3167.433574570902
170314110002,41.790293871493816,-87.57549358882011,559.0,2.734995817478512,204.3878811176251
170314110003,41.79349302370556,-87.58530789275022,1551.0,0.3012643013487152,5148.303310602701
170314111001,41.79331908404204,-87.58971397973852,1006.0,0.2129950407802377,4723.1146618008
170314111002,41.78840218131807,-87.5896913887785,1126.0,0.29706416898152427,3790.4268423231847
171419611003,41.928608386371366,-89.06073679473778,,1.2740969540288203,
171419616002,41.901420289516146,-89.05729730748658,,9.155679513103482,
171978836051,41.44048562070209,-87.68557836137977,,1.3633250460596475,
